,DC,DATE,FM.NO,PRODUCT,Customer,No of Articles,actual,RATE,AIR SUR,TAX RATE,Postage,Postage Franked,ST,Tax 18%,TAX ON SC18%,S.charge,SC Per article,Weight
32,129,11.12.2023,P850642,REG,CAMS HSBC,12,22,22,,4.0,264,312.0,48.0,47.519999999999996,5.183999999999999,28.799999999999997,2.4,no
33,129,11.12.2023,P850642,REG,CAMS HSBC,2,37,37,,7.0,74,88.0,14.0,13.32,0.864,4.8,2.4,no
34,129,11.12.2023,P850642,ORD,CAMS HSBC,13,10,10,,2.0,130,156.0,26.0,23.4,1.638,9.1,0.7,no
35,129,12.12.2023,P850642,FREG,CAMS HSBC,4,190,190,,33.0,760,892.0,132.0,136.79999999999998,1.008,5.6,1.4,no
36,129,12.12.2023,P850642,FREG,CAMS HSBC,9,179,179,,31.5,1611,1894.5,283.5,289.97999999999996,2.268,12.6,1.4,no
37,129,12.12.2023,P850642,FREG,CAMS HSBC,2,198,198,,35.0,396,466.0,70.0,71.28,0.504,2.8,1.4,no
38,129,12.12.2023,P850642,FREG,CAMS HSBC,9,180,180,,31.5,1620,1903.5,283.5,291.59999999999997,2.268,12.6,1.4,no
39,129,12.12.2023,P850642,FREG,CAMS HSBC,1,183,183,,31.5,183,214.5,31.5,32.94,0.252,1.4,1.4,no
40,129,12.12.2023,P850642,SPEED,CAMS HSBC,1,15,18,,,15,18.0,3.0,2.6999999999999997,0.252,1.4,1.4,no
41,129,12.12.2023,P850642,SPEED,CAMS HSBC,1,35,41,,,35,41.0,6.0,6.3,0.252,1.4,1.4,no
